hashtag,fcgroningen,3.91E-05,7.67E-05,1.35E-04,6.47E-05,3.06E-05,0.002781046,1.30E-04,5.51E-05,7.98E-04,7.84E-05,2.96E-05,6.60E-05
tweet,zeeuws,1.02E-04,4.81E-05,1.65E-05,6.76E-05,0.0060713,4.44E-05,2.37E-05,3.06E-05,4.61E-06,8.16E-05,1.21E-04,8.37E-05
tweet,sittard,2.44E-04,3.36E-05,1.27E-04,1.48E-04,3.97E-05,3.91E-05,6.10E-05,0.003780527,8.01E-05,1.66E-04,1.24E-04,1.64E-04
tweet,urk,3.06E-05,0.005756533,3.58E-04,1.62E-04,4.66E-05,1.53E-04,2.38E-04,3.46E-06,2.09E-04,1.66E-04,8.02E-05,1.02E-04
hashtag,fctwente,1.85E-04,1.47E-04,0.002260969,1.41E-04,9.04E-05,2.46E-04,1.48E-04,1.72E-04,3.14E-04,3.23E-04,1.35E-04,1.56E-04
tweet,doetinchem,8.39E-05,1.47E-04,3.31E-04,6.39E-05,9.22E-06,9.53E-05,8.45E-05,6.41E-05,1.74E-04,0.001709972,5.26E-05,1.56E-04
tweet,zutphen,9.67E-05,2.38E-04,5.58E-04,1.21E-04,9.76E-05,1.67E-04,1.67E-04,8.59E-05,1.16E-04,0.001773398,9.38E-05,1.80E-04
tweet,twentse,1.27E-05,7.78E-05,0.001608436,6.59E-05,9.22E-06,2.38E-05,6.06E-05,1.51E-05,2.82E-05,1.21E-04,4.88E-05,9.06E-05
tweet,cambuur,2.34E-04,1.90E-04,3.00E-04,1.52E-04,1.70E-04,6.33E-04,0.003665461,7.98E-05,2.49E-04,3.47E-04,1.91E-04,1.83E-04
tweet,fc,0.001064482,7.87E-04,0.002253883,6.02E-04,7.34E-04,0.003538122,9.20E-04,8.11E-04,0.002126356,9.49E-04,7.61E-04,0.001040227
tweet,dordrecht,5.28E-04,1.62E-04,1.60E-04,2.98E-04,5.90E-04,8.92E-05,2.28E-04,1.41E-04,2.22E-04,3.18E-04,0.001779016,2.54E-04
hashtag,leiden,4.51E-05,6.94E-05,3.67E-05,1.10E-04,2.35E-05,5.27E-05,2.44E-05,1.09E-05,4.61E-06,5.91E-05,0.001291386,9.70E-05
tweet,wageningen,1.73E-04,3.03E-04,2.01E-04,1.75E-04,9.22E-06,9.40E-05,1.29E-04,1.09E-04,7.43E-05,0.001830155,1.56E-04,5.31E-04
hashtag,twente,6.92E-05,9.28E-05,0.001481874,8.27E-05,9.22E-06,4.57E-05,1.46E-04,7.83E-05,1.04E-04,1.53E-04,5.66E-05,4.03E-05
tweet,achterhoek,6.91E-05,9.35E-05,3.86E-04,6.39E-05,3.10E-05,3.34E-05,3.69E-05,2.62E-05,8.37E-05,0.001577458,6.88E-05,1.67E-04
hashtag,drenthe,2.55E-05,1.70E-04,1.18E-04,3.04E-05,9.22E-06,2.65E-04,1.05E-04,2.46E-05,0.002568957,4.06E-05,5.87E-05,3.24E-05
